Location Coordinate;Feature Extent;Latitude Coordinate;Longitude Coordinate;Projection;Easting Coordinate;Northing Coordinate;Class Code;Postcode;Council Ward;Suburb;GISFid;Ownership;Road Name;Road Length;Left Locality;Right Locality;Road Classification;Feature_Type;Google Maps Direction
-38.066758781883046, 145.35455083461412;"{""coordinates"": [[[145.3542233981, -38.0667233813], [145.3547880656, -38.06678443]], [[145.3547880745, -38.0667844309], [145.3548782776, -38.0667941829]]], ""type"": ""MultiLineString""}";-38.06677160630149;145.35466945395683;MGA2020 Zone 55;355671;5785500;Local Road;3806;Akoonah;Berwick;7015;Council;Tabak Court;57;BERWICK;BERWICK;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.06677160630149,145.35466945395683/@your+location,17z/data=!4m2!4m1!3e0
-38.03474793247435, 145.2534219903182;"{""coordinates"": [[145.2525067378, -38.034721468], [145.2525813456, -38.034745141], [145.2526232839, -38.0347546399], [145.252658633, -38.0347626465], [145.2527244919, -38.0347724003], [145.2528045544, -38.0347781784], [145.2528849459, -38.0347774503], [145.2529515746, -38.0347718783], [145.2530303772, -38.0347592795], [145.2532198883, -38.0347135295], [145.2533362517, -38.0346992214], [145.2534539925, -38.0346977204], [145.2535563792, -38.034706955], [145.2543416153, -38.0348121484]], ""type"": ""LineString""}";-38.03474793247595;145.2534219902762;MGA2020 Zone 55;346722;5788891;Local Road;3976;River Gum;Hampton Park;7018;Council;Talbot Court;164;HAMPTON PARK;HAMPTON PARK;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.03474793247595,145.2534219902762/@your+location,17z/data=!4m2!4m1!3e0
-38.10713002793046, 145.30675607885624;"{""coordinates"": [[145.3058458547, -38.1070206841], [145.3059584908, -38.1070342157], [145.3075609395, -38.1072267139], [145.3076663032, -38.1072393702]], ""type"": ""LineString""}";-38.10713002795179;145.3067560789066;MGA2020 Zone 55;351549;5780946;Local Road;3977;Correa;Cranbourne East;7024;Council;Tanner Avenue;161;CRANBOURNE EAST;CRANBOURNE EAST;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.10713002795179,145.3067560789066/@your+location,17z/data=!4m2!4m1!3e0
-38.00415015631476, 145.2729247873598;"{""coordinates"": [[[145.2730641294, -38.0036453076], [145.2731653723, -38.003657782]], [[145.2721117186, -38.0042214047], [145.2722020687, -38.0042326657], [145.2726157872, -38.0042842296], [145.2727879998, -38.0043283001], [145.2730272653, -38.0043594337], [145.2731653723, -38.003657782], [145.2733228983, -38.0036771993]], [[145.2730272653, -38.0043594337], [145.2734541914, -38.0044149802]]], ""type"": ""MultiLineString""}";-38.00405349353748;145.27306465825018;MGA2020 Zone 55;348383;5792329;Local Road;3803;Waratah;Hallam;7026;Council;Tara Court;221;HALLAM;HALLAM;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.00405349353748,145.27306465825018/@your+location,17z/data=!4m2!4m1!3e0
-38.11950289067114, 145.34430099206975;"{""coordinates"": [[145.3441577524, -38.1184838872], [145.3440416751, -38.1184693404], [145.3434591158, -38.1183963326], [145.3433195506, -38.1184287118], [145.343212477, -38.1190769766], [145.3431534627, -38.1194362904], [145.3431603823, -38.1195508083], [145.3432106149, -38.1196560142], [145.3432892879, -38.1197482126], [145.3434034271, -38.1198087327], [145.3435711064, -38.1198539207], [145.3454525183, -38.1200896982], [145.3457841415, -38.1201312509], [145.3459242505, -38.1201001471], [145.3460349325, -38.1195590549], [145.3460610724, -38.1194312633]], ""type"": ""LineString""}";-38.119502890693944;145.34430099210115;MGA2020 Zone 55;354864;5779634;Local Road;3978;Dillwynia;Clyde North;7029;Council;Tarnbeck Circuit;537;CLYDE NORTH;CLYDE NORTH;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.119502890693944,145.34430099210115/@your+location,17z/data=!4m2!4m1!3e0
-38.083329734509746, 145.37584077428014;"{""coordinates"": [[[145.3760074592, -38.0824980744], [145.3759931962, -38.0825692401]], [[145.3759931813, -38.0825693146], [145.3756884232, -38.0840898755]], [[145.3756884205, -38.0840898889], [145.3756740998, -38.0841613386]]], ""type"": ""MultiLineString""}";-38.083329622029424;145.37584079670614;MGA2020 Zone 55;357560;5783695;Local Road;3978;Dillwynia;Clyde North;7034;Council;Tawney Road;186;CLYDE NORTH;CLYDE NORTH;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.083329622029424,145.37584079670614/@your+location,17z/data=!4m2!4m1!3e0
-38.013535133790846, 145.33253987982025;"{""coordinates"": [[145.3329190804, -38.0140447471], [145.332898184, -38.0139788192], [145.3328894253, -38.0139511854], [145.332857881, -38.0138686131], [145.3328193864, -38.0137878878], [145.3327741054, -38.0137094167], [145.3324897711, -38.013257729], [145.3319845367, -38.0134567883]], ""type"": ""LineString""}";-38.013535133779804;145.332539879828;MGA2020 Zone 55;353625;5791371;Local Road;3806;Grevillea;Berwick;7037;Council;Temple - Wood Court;144;BERWICK;BERWICK;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.013535133779804,145.332539879828/@your+location,17z/data=!4m2!4m1!3e0
-38.09743215606979, 145.36770570677206;"{""coordinates"": [[145.3678554383, -38.0970921161], [145.3678090488, -38.0971974674], [145.3675842101, -38.097708074], [145.3675559747, -38.0977721958]], ""type"": ""LineString""}";-38.09743215607506;145.36770570677035;MGA2020 Zone 55;356874;5782117;Local Road;3978;Dillwynia;Clyde North;7040;Council;Tesla Grange;79;CLYDE NORTH;CLYDE NORTH;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.09743215607506,145.36770570677035/@your+location,17z/data=!4m2!4m1!3e0
-38.08663315116807, 145.31020199522445;"{""coordinates"": [[145.2955456086, -38.0847712544], [145.2956775829, -38.0847844247], [145.2974742797, -38.084994543], [145.3014478311, -38.0854591367], [145.3021790479, -38.0855538626], [145.3032061929, -38.0856945865], [145.304649401, -38.0858907376], [145.3061695446, -38.0860956115], [145.3076252259, -38.0862774691], [145.3081799848, -38.0863547535], [145.3103249184, -38.086650136], [145.3135564989, -38.0871002611], [145.3147377326, -38.0872649282], [145.3153059444, -38.0873441339], [145.3162605994, -38.0874580533], [145.3170633517, -38.0875538436], [145.318550824, -38.0877365127], [145.3198898634, -38.0879067642], [145.3220387124, -38.0881580099], [145.3234667977, -38.0883269214], [145.3248591934, -38.0884891904]], ""type"": ""LineString""}";-38.08663315116986;145.31020199524318;MGA2020 Zone 55;351810;5783226;Arterial Road;3977;Correa;Cranbourne East;7049;VicRoads;Thompsons Road;2604;CRANBOURNE EAST;CRANBOURNE EAST;level 2;Road Responsibilty;https://www.google.com.au/maps/dir//-38.08663315116986,145.31020199524318/@your+location,17z/data=!4m2!4m1!3e0
-38.09872779123638, 145.31749365513457;"{""coordinates"": [[[145.3227016622, -38.0993604663], [145.3226892861, -38.0993612827], [145.3226428158, -38.0993636138], [145.3225963086, -38.0993652163], [145.3225497881, -38.0993661074], [145.3225032292, -38.0993662762], [145.3224725893, -38.0993659193]], [[145.312327577, -38.0978541033], [145.3126853266, -38.0978982029], [145.3127493051, -38.0979064593], [145.312813149, -38.097915412], [145.3128768134, -38.097925075], [145.3129403105, -38.0979354223], [145.3130036272, -38.0979464743], [145.3130667422, -38.097958212], [145.3131296427, -38.0979706512], [145.3131669658, -38.0979784651], [145.313192319, -38.0979837676], [145.3132547585, -38.09799756], [145.3133169492, -38.0980120554], [145.3133788815, -38.0980272274], [145.3134405319, -38.0980430586], [145.3135019108, -38.0980595833], [145.3135629848, -38.098076776], [145.3136237652, -38.0980946349], [145.3136842065, -38.098113162], [145.3137443319, -38.0981323299], [145.3138041178, -38.0981521822], [145.3138635423, -38.0981726764], [145.3139781707, -38.0982137194], [145.3140340684, -38.0982330608], [145.3140827002, -38.0982492932], [145.3141467762, -38.09827], [145.314203589, -38.0982875818], [145.3142606729, -38.0983045852], [145.3143180387, -38.0983209853], [145.31437024, -38.0983371734], [145.3144251352, -38.0983516608], [145.3145062649, -38.0983719164], [145.3145355932, -38.0983790293], [145.3145911324, -38.0983918939], [145.314646862, -38.0984042159], [145.3146844736, -38.0984129914], [145.314722289, -38.0984211353], [145.3147603169, -38.0984286677], [145.3147985265, -38.0984355854], [145.3148369135, -38.0984418811], [145.3150066831, -38.0984628247], [145.3157849377, -38.0985588311], [145.3162693488, -38.098618586], [145.3179384939, -38.0988244792], [145.3189181687, -38.0989453114], [145.3198207308, -38.0990598544], [145.320769892, -38.0991803114], [145.3211920489, -38.0992338797], [145.3216802961, -38.0992958381], [145.3222246457, -38.0993522019], [145.3222709039, -38.0993563492], [145.3223172485, -38.0993597651], [145.3223636832, -38.0993624793], [145.3224101597, -38.0993644623], [145.3224566787, -38.099365734], [145.3224720692, -38.0993659133]]], ""type"": ""MultiLineString""}";-38.09903912442714;145.31998360217088;MGA2020 Zone 55;352692;5781865;Local Road;3977;Correa;Cranbourne East;7052;Council;Thunderbolt Drive;928;CRANBOURNE EAST;CRANBOURNE EAST;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.09903912442714,145.31998360217088/@your+location,17z/data=!4m2!4m1!3e0
-37.97684481007053, 145.25680601790435;"{""coordinates"": [[145.2568677838, -37.9763504043], [145.2568528579, -37.9764282327], [145.2567942448, -37.9767338579], [145.2567881048, -37.9767958924], [145.2567882875, -37.976849525], [145.2567971496, -37.9769651602], [145.256799557, -37.9770506451], [145.2567935149, -37.9771411676], [145.2567709019, -37.9773423595]], ""type"": ""LineString""}";-37.97684481004437;145.25680601790992;MGA2020 Zone 55;346898;5795322;Local Road;3802;Kalora;Endeavour Hills;7053;Council;Thurmond Court;110;ENDEAVOUR HILLS;ENDEAVOUR HILLS;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-37.97684481004437,145.25680601790992/@your+location,17z/data=!4m2!4m1!3e0
-38.12522520755, 145.3165344611;"{""coordinates"": [[145.316445892, -38.1252137561], [145.3166230302, -38.125236659]], ""type"": ""LineString""}";-38.12522520754245;145.31653446107322;MGA2020 Zone 55;352443;5778953;Local Road;3977;Tooradin;Cranbourne East;7058;Council;Tili Terrin Drive;15;CLYDE;CLYDE;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.12522520754245,145.31653446107322/@your+location,17z/data=!4m2!4m1!3e0
-38.079302491185324, 145.28118068489184;"{""coordinates"": [[[145.2806843488, -38.0792400578], [145.28075596, -38.0792490659]], [[145.2807563166, -38.0792491108], [145.2816767159, -38.0793648859]]], ""type"": ""MultiLineString""}";-38.0792757800834;145.28096833533576;MGA2020 Zone 55;349231;5783995;Local Road;3977;Correa;Cranbourne North;7060;Council;Tinara Court;88;CRANBOURNE NORTH;CRANBOURNE NORTH;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.0792757800834,145.28096833533576/@your+location,17z/data=!4m2!4m1!3e0
