Location Coordinate;Feature Extent;Latitude Coordinate;Longitude Coordinate;Projection;Easting Coordinate;Northing Coordinate;Class Code;Postcode;Council Ward;Suburb;GISFid;Ownership;Road Name;Road Length;Left Locality;Right Locality;Road Classification;Feature_Type;Google Maps Direction
-37.97139423245386, 145.2632591297192;"{""coordinates"": [[145.2623012985, -37.9712461351], [145.2623829249, -37.9712535611], [145.2626292553, -37.9712759707], [145.2627605697, -37.9712924603], [145.2628910903, -37.9713125447], [145.2631234882, -37.9713576781], [145.2634134798, -37.971430263], [145.2635824991, -37.9714658857], [145.2638022294, -37.9715037303], [145.2642160785, -37.971549455]], ""type"": ""LineString""}";-37.97139423246736;145.2632591297436;MGA2020 Zone 55;347454;5795937;Local Road;3802;Kalora;Endeavour Hills;841;Council;Aaran Close;171;ENDEAVOUR HILLS;ENDEAVOUR HILLS;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-37.97139423246736,145.2632591297436/@your+location,17z/data=!4m2!4m1!3e0
-38.10890822018415, 145.31811241044196;"{""coordinates"": [[145.3166393651, -38.1087235301], [145.3167686849, -38.1087402191], [145.3176408887, -38.1088527752], [145.3186163709, -38.1089704499], [145.3195861411, -38.1090874203]], ""type"": ""LineString""}";-38.10890822018459;145.31811241044485;MGA2020 Zone 55;352548;5780766;Local Road;3977;Correa;Cranbourne East;842;Council;Aayana Street;261;CRANBOURNE EAST;CRANBOURNE EAST;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.10890822018459,145.31811241044485/@your+location,17z/data=!4m2!4m1!3e0
-38.07624714864601, 145.32035534311316;"{""coordinates"": [[[145.3211630522, -38.0754575138], [145.3209496492, -38.0754302733], [145.3209463957, -38.075429858], [145.3209432133, -38.0754454346], [145.3205888541, -38.0754001882], [145.3201521207, -38.0753444404], [145.3200483874, -38.075403644], [145.3200025804, -38.0756278653], [145.3199740789, -38.0756684905], [145.3199207232, -38.0759295785], [145.3197196807, -38.0769136072], [145.3195241567, -38.0772023262], [145.3194731588, -38.0772776314]], [[145.3209432133, -38.0754454346], [145.3205697889, -38.077273312], [145.3203742842, -38.0775620011], [145.3203232465, -38.0776373647]]], ""type"": ""MultiLineString""}";-38.076289855523726;145.32040081310103;MGA2020 Zone 55;352682;5784388;Local Road;3977;Kowan;Cranbourne North;846;Council;Abrus Circuit;570;CRANBOURNE NORTH;CRANBOURNE NORTH;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.076289855523726,145.32040081310103/@your+location,17z/data=!4m2!4m1!3e0
-38.04805337425121, 145.32089850784922;"{""coordinates"": [[145.3214100309, -38.0484526164], [145.3214091294, -38.0484496406], [145.3214338628, -38.0482680583], [145.321476082, -38.0479580494], [145.3214585881, -38.0479035002], [145.321446553, -38.0478970011], [145.321403219, -38.0478736127], [145.3205673192, -38.0477693702], [145.3204914471, -38.0477886907], [145.3204606579, -38.0478542862], [145.3204171783, -38.0481820102], [145.3205972132, -38.0486583105]], ""type"": ""LineString""}";-38.04805337427462;145.32089850783032;MGA2020 Zone 55;352670;5787521;Local Road;3806;Akoonah;Berwick;850;Council;Adakite Drive;248;BERWICK;BERWICK;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.04805337427462,145.32089850783032/@your+location,17z/data=!4m2!4m1!3e0
-38.12051098596724, 145.37276700964284;"{""coordinates"": [[[145.3713555661, -38.1199174895], [145.3714785777, -38.1199341316]], [[145.3714785777, -38.1199341316], [145.3738080925, -38.120249262]], [[145.3712148048, -38.1205860898], [145.3713356477, -38.1206053712]], [[145.3713356477, -38.1206053712], [145.3716674652, -38.1206583147], [145.3716674645, -38.1206583146]], [[145.3745902595, -38.1210433199], [145.3744409148, -38.1210247616], [145.3741423626, -38.1209876614], [145.3740860408, -38.1209806624], [145.3737543039, -38.1209364492], [145.3726345418, -38.120787208], [145.3716674652, -38.1206583147], [145.3716674661, -38.1206583148]]], ""type"": ""MultiLineString""}";-38.12041954956164;145.37199316277088;MGA2020 Zone 55;357295;5779573;Local Road;3978;Dillwynia;Clyde North;854;Council;Aegean Street;518;CLYDE NORTH;CLYDE NORTH;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.12041954956164,145.37199316277088/@your+location,17z/data=!4m2!4m1!3e0
-38.12575484231825, 145.23757947812615;"{""coordinates"": [[145.2360577226, -38.125443837], [145.2361848554, -38.1254748684], [145.2364223593, -38.1255328396], [145.2383378307, -38.1258769319], [145.2390059281, -38.1261080891], [145.2390849913, -38.1261248864]], ""type"": ""LineString""}";-38.12575484230799;145.2375794781262;MGA2020 Zone 55;345523;5778766;Local Road;3977;Cranbourne Gardens;Cranbourne South;857;Council;Ajana Drive;276;CRANBOURNE SOUTH;CRANBOURNE SOUTH;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.12575484230799,145.2375794781262/@your+location,17z/data=!4m2!4m1!3e0
-38.079389900320265, 145.3181061482591;"{""coordinates"": [[145.317656079, -38.079332427], [145.3177462, -38.0793439356], [145.3184663196, -38.0794358936], [145.3185562176, -38.079447373]], ""type"": ""LineString""}";-38.07938990031215;145.31810614825775;MGA2020 Zone 55;352488;5784042;Local Road;3977;Kowan;Cranbourne North;858;Council;Ajuga Lane;79;CRANBOURNE NORTH;CRANBOURNE NORTH;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.07938990031215,145.31810614825775/@your+location,17z/data=!4m2!4m1!3e0
-38.1098852511188, 145.24262085601882;"{""coordinates"": [[[145.2369461662, -38.109029273], [145.2371043592, -38.1090491682]], [[145.2371047555, -38.109049218], [145.2374596137, -38.109093846], [145.2376892959, -38.1091237614], [145.2379820742, -38.1091996868], [145.2387132388, -38.1093893088], [145.2387800919, -38.1094011496], [145.2390434069, -38.1094477976], [145.2396144429, -38.1095172924], [145.239947599, -38.1095578361], [145.2415036563, -38.1097429219], [145.2421155067, -38.1098222691], [145.2422731209, -38.1098427086], [145.242430274, -38.1098646225], [145.2427671398, -38.1099115953], [145.2431836863, -38.1099672238], [145.2439706845, -38.1100723236], [145.2447576853, -38.11017741], [145.2456009135, -38.1102899979], [145.2464272379, -38.1104003367], [145.2473098148, -38.1105182011], [145.2478043048, -38.1105842367]], [[145.2478057925, -38.1105844354], [145.2478077009, -38.1105846903], [145.2481657233, -38.1106324483]], [[145.2481657151, -38.1106324472], [145.2483147695, -38.1106523298]]], ""type"": ""MultiLineString""}";-38.1100382424287;145.24392409478327;MGA2020 Zone 55;346046;5780521;Local Road;3977;Quarters;Cranbourne West;861;Council;Alarah Boulevard;1013;CRANBOURNE WEST;CRANBOURNE WEST;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.1100382424287,145.24392409478327/@your+location,17z/data=!4m2!4m1!3e0
-38.07726748756941, 145.24244635474665;"{""coordinates"": [[145.2425145089, -38.0769279456], [145.2425003074, -38.0769986975], [145.242389696, -38.0775497594], [145.2423782004, -38.0776070295]], ""type"": ""LineString""}";-38.07726748757672;145.24244635471985;MGA2020 Zone 55;345848;5784155;Local Road;3975;Quarters;Lyndhurst;863;Council;Alba Way;76;LYNDHURST;LYNDHURST;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.07726748757672,145.24244635471985/@your+location,17z/data=!4m2!4m1!3e0
-38.08090384137412, 145.33133998263534;"{""coordinates"": [[145.3317406489, -38.080577075], [145.331682303, -38.0806237025], [145.3310875727, -38.0810989797], [145.3309707863, -38.0812605885]], ""type"": ""LineString""}";-38.08090384137713;145.33133998266243;MGA2020 Zone 55;353652;5783894;Local Road;3977;Kowan;Cranbourne North;869;Council;Alcoota Close;102;CRANBOURNE NORTH;CRANBOURNE NORTH;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.08090384137713,145.33133998266243/@your+location,17z/data=!4m2!4m1!3e0
-38.12372819929525, 145.3585671710039;"{""coordinates"": [[[145.3587595045, -38.122820127], [145.3587439163, -38.122893726], [145.3583898807, -38.1245652459]], [[145.3583898796, -38.1245652513], [145.3583748357, -38.1246362764]]], ""type"": ""MultiLineString""}";-38.12414672518312;145.3584785252456;MGA2020 Zone 55;356117;5779139;Local Road;3978;Tooradin;Clyde;872;Council;Alicante Street;204;CLYDE;CLYDE;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.12414672518312,145.3584785252456/@your+location,17z/data=!4m2!4m1!3e0
-37.96881726905749, 145.2544421042247;"{""coordinates"": [[145.2540266782, -37.9687205291], [145.2541516838, -37.96874683], [145.2545698969, -37.9688348198], [145.2548476446, -37.9689465513]], ""type"": ""LineString""}";-37.96881726904712;145.25444210424462;MGA2020 Zone 55;346674;5796208;Local Road;3802;Kalora;Endeavour Hills;874;Council;Alma Court;76;ENDEAVOUR HILLS;ENDEAVOUR HILLS;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-37.96881726904712,145.25444210424462/@your+location,17z/data=!4m2!4m1!3e0
-38.02861157962445, 145.25469507645946;"{""coordinates"": [[[145.2552066484, -38.026797854], [145.2549377814, -38.0279908206], [145.2549146091, -38.0280663121], [145.2548787674, -38.0281410027], [145.2548327926, -38.0282096509], [145.2547220648, -38.0283380144], [145.2546785618, -38.0284070993], [145.2546616635, -38.0284453254], [145.2546463474, -38.0284799611], [145.2546255168, -38.0285576205], [145.2542483475, -38.0303465135]], [[145.2542483475, -38.0303465135], [145.2542282404, -38.0304418778]]], ""type"": ""MultiLineString""}";-38.029479452781466;145.25447269022266;MGA2020 Zone 55;346803;5789477;Local Road;3976;Waratah;Hampton Park;875;Council;Alma Road;415;HAMPTON PARK;HAMPTON PARK;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.029479452781466,145.25447269022266/@your+location,17z/data=!4m2!4m1!3e0
-38.076363803580385, 145.2430835435664;"{""coordinates"": [[[145.2431898132, -38.0758342901], [145.243175441, -38.0759059045]], [[145.2431754375, -38.0759059216], [145.2430891925, -38.0763356624], [145.2429919054, -38.076820403], [145.2429772746, -38.0768933018]]], ""type"": ""MultiLineString""}";-38.07613485461596;145.24312949210278;MGA2020 Zone 55;345905;5784281;Local Road;3975;Quarters;Lyndhurst;878;Council;Amara Grove;119;LYNDHURST;LYNDHURST;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.07613485461596,145.24312949210278/@your+location,17z/data=!4m2!4m1!3e0
-38.129649691302085, 145.23519629757365;"{""coordinates"": [[[145.234707652, -38.1280666892], [145.2348394646, -38.1281101668]], [[145.2349413826, -38.1281437836], [145.2350442795, -38.1281777232], [145.2351497458, -38.1282125081], [145.2354812815, -38.1283218566], [145.23553897, -38.1283408882], [145.2358791808, -38.1288010554], [145.2365185753, -38.1296658861], [145.2365266972, -38.1297058956], [145.2358138896, -38.1300347148], [145.2351047663, -38.1303618296], [145.2345190638, -38.1295695981], [145.2343929698, -38.1295291956], [145.2343219131, -38.1295064245], [145.2342444305, -38.1295069267], [145.2340518943, -38.1299035409], [145.2340248372, -38.1300341034], [145.2340247232, -38.1301514967], [145.2340469599, -38.1302677654], [145.234084532, -38.1303528517], [145.2343240901, -38.130618523], [145.2343937838, -38.1306467653], [145.2344345719, -38.1306441451], [145.2346725668, -38.1305611982], [145.2351047663, -38.1303618296]]], ""type"": ""MultiLineString""}";-38.12888398731334;145.2349889698671;MGA2020 Zone 55;345302;5778415;Local Road;3977;Cranbourne Gardens;Cranbourne South;879;Council;Ambassador Circuit;726;CRANBOURNE SOUTH;CRANBOURNE SOUTH;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.12888398731334,145.2349889698671/@your+location,17z/data=!4m2!4m1!3e0
-38.078226189169435, 145.35092789346317;"{""coordinates"": [[[145.3492316845, -38.0780221239], [145.3493611088, -38.0780372926]], [[145.3493632144, -38.0780375394], [145.3502033116, -38.0781359963], [145.3506901822, -38.0781930754], [145.3506909162, -38.0781931708]], [[145.3506910999, -38.0781931947], [145.3511235049, -38.0782493984], [145.3519568321, -38.0783532542], [145.3525487536, -38.0784269823], [145.3526214057, -38.0784360315]]], ""type"": ""MultiLineString""}";-38.07815352155758;145.35032653388026;MGA2020 Zone 55;355312;5784230;Local Road;3978;Dillwynia;Clyde North;882;Council;Amesbury Way;300;CLYDE NORTH;CLYDE NORTH;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.07815352155758,145.35032653388026/@your+location,17z/data=!4m2!4m1!3e0
-38.0538256801033, 145.29287991159723;"{""coordinates"": [[145.2921606545, -38.0537544252], [145.2924241606, -38.0537654971], [145.293580063, -38.0539129266], [145.2935976258, -38.0539151666]], ""type"": ""LineString""}";-38.05382568011524;145.29287991160928;MGA2020 Zone 55;350224;5786838;Local Road;3805;Casuarina;Narre Warren South;886;Council;Amos Court;127;NARRE WARREN SOUTH;NARRE WARREN SOUTH;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.05382568011524,145.29287991160928/@your+location,17z/data=!4m2!4m1!3e0
-38.11722158184271, 145.25279947188653;"{""coordinates"": [[[145.2532673521, -38.1172880614], [145.2527453188, -38.1172137984], [145.2523277104, -38.1171543889], [145.2522360375, -38.1171413472], [145.2522332194, -38.1171546768]], [[145.2532684979, -38.1172882244], [145.2533772, -38.1173036878]]], ""type"": ""MultiLineString""}";-38.1172549000061;145.25303393415908;MGA2020 Zone 55;346860;5779735;Local Road;3977;Cranbourne Gardens;Cranbourne;887;Council;Amstel Mews;103;CRANBOURNE;CRANBOURNE;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.1172549000061,145.25303393415908/@your+location,17z/data=!4m2!4m1!3e0
-38.13450408714652, 145.36419527232172;"{""coordinates"": [[145.3658579424, -38.1344617346], [145.3657674875, -38.1344497455], [145.3651379114, -38.1343662987], [145.3642831312, -38.1342529965], [145.3634053303, -38.1341366322], [145.3633922447, -38.134270406], [145.3633855381, -38.1343389023], [145.3633292491, -38.1346052], [145.3634365146, -38.1348989488], [145.3635660534, -38.1352249439], [145.3636907996, -38.1355388755]], ""type"": ""LineString""}";-38.13450408713217;145.3641952723508;MGA2020 Zone 55;356634;5777995;Local Road;3978;Tooradin;Clyde;889;Council;Andante Crescent;378;CLYDE;CLYDE;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.13450408713217,145.3641952723508/@your+location,17z/data=!4m2!4m1!3e0
-38.00391596551337, 145.31891865480804;"{""coordinates"": [[[145.318979457, -38.0036040326], [145.3189606764, -38.003700383]], [[145.3189608825, -38.0036993255], [145.3188577099, -38.0042286302]]], ""type"": ""MultiLineString""}";-38.003808092818865;145.31893968146548;MGA2020 Zone 55;352410;5792430;Local Road;3805;Grevillea;Narre Warren;897;Council;Antonietta Place;70;NARRE WARREN;NARRE WARREN;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.003808092818865,145.31893968146548/@your+location,17z/data=!4m2!4m1!3e0
-38.12767118470118, 145.33010942584954;"{""coordinates"": [[[145.3292660284, -38.1275654599], [145.3293561343, -38.1275767556]], [[145.3293561344, -38.1275767557], [145.3300432515, -38.1276628907], [145.330820472, -38.1277603164], [145.3309528236, -38.1277769063]]], ""type"": ""MultiLineString""}";-38.12762397005686;145.32973278011886;MGA2020 Zone 55;353605;5778708;Local Road;3978;Tooradin;Clyde;898;Council;Apium Street;149;CLYDE;CLYDE;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.12762397005686,145.32973278011886/@your+location,17z/data=!4m2!4m1!3e0
-38.11730111016011, 145.23951309204003;"{""coordinates"": [[[145.2372599862, -38.1170780098], [145.2374179208, -38.1170978695], [145.2377555105, -38.1171403196], [145.2382251523, -38.117203634]], [[145.2385123246, -38.117224219], [145.2382530667, -38.117205635], [145.2382251523, -38.117203634], [145.2381286282, -38.1176980475]], [[145.2393392452, -38.1162969607], [145.2394295229, -38.1163083116], [145.2399873302, -38.1163784448], [145.2401695738, -38.1164075753], [145.2402728495, -38.1164214506], [145.2409751424, -38.1165158125], [145.2406696816, -38.1180310722], [145.2400387729, -38.1179517119], [145.2398615564, -38.1179159563], [145.2390508409, -38.1178140027], [145.2381286282, -38.1176980475], [145.2381229998, -38.1177179091], [145.2380834976, -38.1178573046]], [[145.2406696816, -38.1180310722], [145.2406689558, -38.118038262], [145.2406555116, -38.1181714397]]], ""type"": ""MultiLineString""}";-38.1174764386128;145.23914943027486;MGA2020 Zone 55;345644;5779687;Local Road;3977;Cranbourne Gardens;Cranbourne West;901;Council;Aquatic Drive;742;CRANBOURNE WEST;CRANBOURNE WEST;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.1174764386128,145.23914943027486/@your+location,17z/data=!4m2!4m1!3e0
-38.10817229740706, 145.3197737205511;"{""coordinates"": [[[145.3199612995, -38.1072571745], [145.3199403304, -38.1073594768]], [[145.3199403304, -38.1073594767], [145.3195861411, -38.1090874203]]], ""type"": ""MultiLineString""}";-38.107765887066634;145.31985702533825;MGA2020 Zone 55;352699;5780896;Local Road;3977;Correa;Cranbourne East;904;Council;Aayana Street;205;CLYDE NORTH;CRANBOURNE EAST;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.107765887066634,145.31985702533825/@your+location,17z/data=!4m2!4m1!3e0
-38.12669662892363, 145.233966426913;"{""coordinates"": [[145.2353494542, -38.1268169587], [145.2352175876, -38.126774703], [145.2336969889, -38.1262874236], [145.2336088234, -38.1262879819], [145.233304259, -38.1268810057], [145.2330129298, -38.1274276402], [145.2329656534, -38.1275163461]], ""type"": ""LineString""}";-38.12669662892612;145.2339664269286;MGA2020 Zone 55;345204;5778654;Local Road;3977;Cranbourne Gardens;Cranbourne South;905;Council;Abayo Crescent;311;CRANBOURNE SOUTH;CRANBOURNE SOUTH;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.12669662892612,145.2339664269286/@your+location,17z/data=!4m2!4m1!3e0
-38.13116365593165, 145.32252051450945;"{""coordinates"": [[[145.3237654008, -38.1309493365], [145.3237511998, -38.1310360749], [145.3236722275, -38.1314298504]], [[145.3236722282, -38.1314298468], [145.3236578775, -38.1315014023]], [[145.3237838492, -38.1308367229], [145.3237683266, -38.1309314768], [145.3237654008, -38.1309493365], [145.3230778342, -38.1308632914], [145.3229352651, -38.1308436476], [145.3227273745, -38.1308150069], [145.3219955616, -38.1307141751], [145.3218474819, -38.130747317], [145.3218457625, -38.1307558887], [145.3216902621, -38.1315311212], [145.3216852966, -38.1316422122], [145.3215541411, -38.1322960665], [145.3215398322, -38.1323674003]]], ""type"": ""MultiLineString""}";-38.1312698966411;145.32324148117328;MGA2020 Zone 55;353041;5778292;Local Road;3978;Tooradin;Clyde;906;Council;Abbeyard Drive;427;CLYDE;CLYDE;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.1312698966411,145.32324148117328/@your+location,17z/data=!4m2!4m1!3e0
-38.054797716240365, 145.29373882316023;"{""coordinates"": [[145.2942824, -38.053831133], [145.29416139, -38.0538758334], [145.2941446694, -38.0538820099], [145.2940797591, -38.0539019356], [145.294012326, -38.0539179107], [145.2939398799, -38.0539279706], [145.2938624086, -38.0539321052], [145.2937749305, -38.0539323194], [145.2936874169, -38.0539266041], [145.2935976258, -38.0539151666], [145.2935269766, -38.0542692967], [145.2935034409, -38.0544306807], [145.2934978498, -38.0545280734], [145.2934980581, -38.0546080737], [145.2935115235, -38.0547681592], [145.2935411905, -38.0549223312], [145.2935870033, -38.0550740323], [145.2936600699, -38.055251766], [145.2940203612, -38.0560812483], [145.2940574452, -38.056166624]], ""type"": ""LineString""}";-38.05479771621706;145.2937388231708;MGA2020 Zone 55;350300;5786728;Local Road;3805;Casuarina;Narre Warren South;908;Council;Abercairn Drive;320;NARRE WARREN SOUTH;NARRE WARREN SOUTH;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.05479771621706,145.2937388231708/@your+location,17z/data=!4m2!4m1!3e0
-38.04129720043005, 145.28285416494802;"{""coordinates"": [[145.2826576066, -38.040641233], [145.2827119568, -38.0406945363], [145.2832711513, -38.0412429537], [145.2825600484, -38.0416969204], [145.2822675703, -38.0418556723]], ""type"": ""LineString""}";-38.04129720041438;145.2828541649568;MGA2020 Zone 55;349319;5788213;Local Road;3976;River Gum;Hampton Park;918;Council;Acre Rise;197;HAMPTON PARK;HAMPTON PARK;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.04129720041438,145.2828541649568/@your+location,17z/data=!4m2!4m1!3e0
-38.04931254224831, 145.32004513655994;"{""coordinates"": [[[145.3208444288, -38.0491102458], [145.3206973153, -38.0491474803]], [[145.3206973446, -38.0491474729], [145.3192909341, -38.0495034258], [145.3192458201, -38.0495148435]]], ""type"": ""MultiLineString""}";-38.04923001071823;145.32037122722085;MGA2020 Zone 55;352627;5787392;Local Road;3806;Akoonah;Berwick;924;Council;Admiral Lane;147;BERWICK;BERWICK;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.04923001071823,145.32037122722085/@your+location,17z/data=!4m2!4m1!3e0
-38.07857397623219, 145.32916980136196;"{""coordinates"": [[[145.3296217697, -38.0785743396], [145.3297134221, -38.078585311]], [[145.3296227348, -38.0785744552], [145.3289572048, -38.0784947846], [145.3288744534, -38.0785138384], [145.328833254, -38.0787329207]], [[145.3288332701, -38.0787328349], [145.3288148296, -38.0788308934]]], ""type"": ""MultiLineString""}";-38.078637969064;145.32921657978787;MGA2020 Zone 55;353461;5784143;Local Road;3977;Kowan;Cranbourne North;928;Council;Aileron Alley;110;CRANBOURNE NORTH;CRANBOURNE NORTH;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.078637969064,145.32921657978787/@your+location,17z/data=!4m2!4m1!3e0
-38.21140440968566, 145.30632429744145;"{""coordinates"": [[145.304993819, -38.2105507647], [145.3056649301, -38.2109864507], [145.3065096052, -38.2115453853], [145.306566662, -38.2115938586], [145.3071728619, -38.2120021971], [145.3076280264, -38.2120566889], [145.3077222116, -38.2120679644]], ""type"": ""LineString""}";-38.21140440967486;145.30632429739913;MGA2020 Zone 55;351721;5769375;Local Road;3977;Cranbourne Gardens;Cannons Creek;931;Council;Albatross Court;298;CANNONS CREEK;CANNONS CREEK;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.21140440967486,145.30632429739913/@your+location,17z/data=!4m2!4m1!3e0
-38.07963828029285, 145.33419580845688;"{""coordinates"": [[145.3341684828, -38.0789325544], [145.3342770922, -38.0791412984], [145.3342768781, -38.0792779115], [145.3340963854, -38.0802875048], [145.3340830692, -38.0803619883]], ""type"": ""LineString""}";-38.07963828027985;145.33419580846356;MGA2020 Zone 55;353900;5784039;Local Road;3977;Kowan;Cranbourne North;938;Council;Allambi Court;161;CRANBOURNE NORTH;CRANBOURNE NORTH;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.07963828027985,145.33419580846356/@your+location,17z/data=!4m2!4m1!3e0
-38.02674306989999, 145.25521899525;"{""coordinates"": [[145.2552313421, -38.0266882858], [145.2552066484, -38.026797854]], ""type"": ""LineString""}";-38.02674306989718;145.25521899527644;MGA2020 Zone 55;346863;5789782;Local Road;3976;Waratah;Hampton Park;941;Council;Alma Road;12;HAMPTON PARK;HAMPTON PARK;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.02674306989718,145.25521899527644/@your+location,17z/data=!4m2!4m1!3e0
-38.0423938037561, 145.2825551216341;"{""coordinates"": [[145.282709072, -38.042300247], [145.2824678105, -38.0424468634], [145.2824011712, -38.0424873604]], ""type"": ""LineString""}";-38.042393803773955;145.2825551216751;MGA2020 Zone 55;349294;5788090;Local Road;3976;River Gum;Hampton Park;952;Council;Amy Court;34;HAMPTON PARK;HAMPTON PARK;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.042393803773955,145.2825551216751/@your+location,17z/data=!4m2!4m1!3e0
-38.21768878958124, 145.33912473010776;"{""coordinates"": [[145.3392731567, -38.2170897134], [145.3391945105, -38.2172217451], [145.3391343579, -38.2173682644], [145.3390879416, -38.2176563549], [145.3390950492, -38.2179558447], [145.3391035903, -38.2183153031]], ""type"": ""LineString""}";-38.21768878958056;145.33912473011497;MGA2020 Zone 55;354607;5768728;Local Road;3980;Cranbourne Gardens;Blind Bight;953;Council;Anchorage Drive;138;BLIND BIGHT;BLIND BIGHT;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.21768878958056,145.33912473011497/@your+location,17z/data=!4m2!4m1!3e0
-38.101355943957316, 145.26096455242353;"{""coordinates"": [[[145.2612428434, -38.1011892123], [145.2609557075, -38.1011536551], [145.2608550978, -38.1016720624]], [[145.2608550958, -38.1016720731], [145.2608423585, -38.1017377034]]], ""type"": ""MultiLineString""}";-38.101516146230864;145.2609113763814;MGA2020 Zone 55;347517;5781494;Local Road;3977;Quarters;Cranbourne West;955;Council;Andre Court;91;CRANBOURNE WEST;CRANBOURNE WEST;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.101516146230864,145.2609113763814/@your+location,17z/data=!4m2!4m1!3e0
-38.03683077717455, 145.2565357559487;"{""coordinates"": [[[145.2557559512, -38.0355894256], [145.2558297863, -38.0356407386], [145.2561502629, -38.0358634579], [145.2562236054, -38.0359165641], [145.2562933953, -38.0359725969], [145.2563594336, -38.0360314028], [145.2564215404, -38.0360928296], [145.256479567, -38.0361567083], [145.2565333396, -38.0362228741], [145.2565827245, -38.0362911476], [145.2566252216, -38.0363574553], [145.2566678202, -38.0364332756], [145.2567033018, -38.0365067508], [145.2567339248, -38.0365815787], [145.2567596427, -38.0366575613], [145.2567803636, -38.0367344818], [145.2567960395, -38.0368121529], [145.2568111558, -38.0369491407], [145.2568124367, -38.0370475553], [145.2568076479, -38.0371261161], [145.256797731, -38.0372043719], [145.2567089092, -38.0376467321], [145.2565863233, -38.0382521178]], [[145.2565863772, -38.0382518514], [145.2565684294, -38.038340485]]], ""type"": ""MultiLineString""}";-38.03754224800014;145.2565559764119;MGA2020 Zone 55;347003;5788584;Local Road;3976;River Gum;Hampton Park;957;Council;Andrew Street;339;HAMPTON PARK;HAMPTON PARK;level 5;Road Responsibilty;https://www.google.com.au/maps/dir//-38.03754224800014,145.2565559764119/@your+location,17z/data=!4m2!4m1!3e0
