conf_cluster_type,conf_target_id,done
waste_collection_area,56,yes
waste_collection_area,108,yes
waste_collection_area,47,yes
waste_facility,5,yes
waste_collection_area,103,yes
waste_collection_area,63,yes
waste_collection_area,78,yes
waste_collection_area,21,yes
waste_collection_area,90,yes
waste_collection_area,14,yes
waste_collection_area,79,yes
waste_collection_area,45,no
waste_collection_area,81,yes
waste_collection_area,80,yes
