Location Coordinate;Feature Extent;Postcode;Projection;Latitude Coordinate;Longitude Coordinate;Location;Bin Type;Bin Type (other);Number of Bins;Bin Size;Bin Size (other);Waste Type;Waste Type (other);Bin Colours;Bin Colours (other);Stand Condition;Stand Condition - other;Plate Fitting;Locking;Locking - other;Key Requirement;Bin Condition;Bin Condition - other;Date;Easting Coordinate;Northing Coordinate;GISFid;Google Maps Direction;Property_Address;Suburb;Last Modification Date;Council Ward
-37.966769482, 145.265556285;"{""coordinates"": [145.265556285, -37.966769482], ""type"": ""Point""}";3802;MGA2020 Zone 55;-37.9667694819962;145.26555628499705;;Cage;;1;120lt;;General;;Green;;1- Poor,2- Average;;;Working;;yes;3- Good;;2022-08-25;347646;5796454;1366;https://www.google.com.au/maps/dir//-37.9667694819962,145.26555628499705/@your+location,17z/data=!4m2!4m1!3e0;15-19 Gleneagles Drv Endeavour Hills 3802;Endeavour Hills;2025-05-26;Kalora
-37.9660273064, 145.249376781;"{""coordinates"": [145.249376781, -37.9660273064], ""type"": ""Point""}";3802;MGA2020 Zone 55;-37.96602730639614;145.24937678099698;;Compound;;4;240lt;;General,Recycle;;Green,Yellow;;2- Average;;;Working;;yes;3- Good;;2022-08-25;346223;5796510;1372;https://www.google.com.au/maps/dir//-37.96602730639614,145.24937678099698/@your+location,17z/data=!4m2!4m1!3e0;289 Power Rd Endeavour Hills 3802;Endeavour Hills;2025-05-26;Kalora
-38.0739664799, 145.338870026;"{""coordinates"": [145.338870026, -38.0739664799], ""type"": ""Point""}";3806;MGA2020 Zone 55;-38.07396647989632;145.33887002599755;;Compound;;7;240lt,660lt;;General,Recycle;;Blue,Green;;3- Good;;;Working;;yes;3- Good;;2022-08-25;354299;5784676;1380;https://www.google.com.au/maps/dir//-38.07396647989632,145.33887002599755/@your+location,17z/data=!4m2!4m1!3e0;21 Grices Rd Berwick 3806;Berwick;2025-05-26;Kowan
-38.0651952792, 145.347230304;"{""coordinates"": [145.347230304, -38.0651952792], ""type"": ""Point""}";3806;MGA2020 Zone 55;-38.065195279196345;145.34723030399763;;Cage;;1;240lt;;General;;Green;;4- Very Good;;;Working;;yes;4- Very Good;;2022-08-25;355015;5785663;1382;https://www.google.com.au/maps/dir//-38.065195279196345,145.34723030399763/@your+location,17z/data=!4m2!4m1!3e0;45 Bridgewater Blvd Berwick 3806;Berwick;2025-05-26;Kowan
-38.0233583507, 145.326694977;"{""coordinates"": [145.326694977, -38.0233583507], ""type"": ""Point""}";3806;MGA2020 Zone 55;-38.02335835069634;145.32669497699752;;Cage;;1;240lt;;General;;Green;;4- Very Good;;;Working;;yes;4- Very Good;;2022-08-25;353130;5790273;1388;https://www.google.com.au/maps/dir//-38.02335835069634,145.32669497699752/@your+location,17z/data=!4m2!4m1!3e0;Avebury Drv Berwick 3806;Berwick;2025-05-26;Grevillea
-38.0252046926, 145.325749344;"{""coordinates"": [145.325749344, -38.0252046926], ""type"": ""Point""}";3806;MGA2020 Zone 55;-38.025204692596326;145.32574934399747;;Compound;;12;240lt;;General,Recycle;;Green,Yellow;;4- Very Good;;;Working;;yes;3- Good;;2022-08-25;353050;5790067;1392;https://www.google.com.au/maps/dir//-38.025204692596326,145.32574934399747/@your+location,17z/data=!4m2!4m1!3e0;20-26 Parkhill Drv Berwick 3806;Berwick;2025-05-26;Grevillea
-38.039176843, 145.341887694;"{""coordinates"": [145.341887694, -38.039176843], ""type"": ""Point""}";3806;MGA2020 Zone 55;-38.03917684299639;145.34188769399762;;Cage;;1;240lt;;General;;Green;;3- Good;;;Working;;yes;3- Good;;2022-08-25;354495;5788542;1394;https://www.google.com.au/maps/dir//-38.03917684299639,145.34188769399762/@your+location,17z/data=!4m2!4m1!3e0;74 Clyde Rd Berwick 3806;Berwick;2025-05-26;Akoonah
-38.0005778047, 145.315644527;"{""coordinates"": [145.315644527, -38.0005778047], ""type"": ""Point""}";3805;MGA2020 Zone 55;-38.0005778046963;145.31564452699746;;Stand;;1;240lt;;General;;Green;;3- Good;;;;;no;3- Good;;2022-08-24;352114;5792783;1397;https://www.google.com.au/maps/dir//-38.0005778046963,145.31564452699746/@your+location,17z/data=!4m2!4m1!3e0;45-49 Amber Crs Narre Warren 3805;Narre Warren;2025-05-26;Grevillea
-38.0016447371, 145.305251302;"{""coordinates"": [145.305251302, -38.0016447371], ""type"": ""Point""}";3805;MGA2020 Zone 55;-38.001644737096285;145.30525130199732;;Cage;;1;120lt;;General;;Green;;1- Poor;;;Not Working;;no;2- Average,3- Good;;2022-08-24;351204;5792648;1404;https://www.google.com.au/maps/dir//-38.001644737096285,145.30525130199732/@your+location,17z/data=!4m2!4m1!3e0;98-100 Anaconda Rd Narre Warren 3805;Narre Warren;2025-05-26;Grevillea
-38.0106305564, 145.303123556;"{""coordinates"": [145.303123556, -38.0106305564], ""type"": ""Point""}";3805;MGA2020 Zone 55;-38.0106305563963;145.30312355599736;;Cage;;1;240lt;;General;;Green;;3- Good;;;Working;;yes;3- Good;;2022-08-24;351035;5791648;1406;https://www.google.com.au/maps/dir//-38.0106305563963,145.30312355599736/@your+location,17z/data=!4m2!4m1!3e0;71 Prospect Hill Rd Narre Warren 3805;Narre Warren;2025-05-26;Grevillea
