Location Coordinate;Feature Extent;Postcode;Projection;Latitude Coordinate;Longitude Coordinate;Location;Bin Type;Bin Type (other);Number of Bins;Bin Size;Bin Size (other);Waste Type;Waste Type (other);Bin Colours;Bin Colours (other);Stand Condition;Stand Condition - other;Plate Fitting;Locking;Locking - other;Key Requirement;Bin Condition;Bin Condition - other;Date;Easting Coordinate;Northing Coordinate;GISFid;Google Maps Direction;Property_Address;Suburb;Last Modification Date;Council Ward
-38.1122262647, 145.297335818;"{""coordinates"": [145.297335818, -38.1122262647], ""type"": ""Point""}";3977;MGA2020 Zone 55;-38.1122262646962;145.2973358179973;;Cage;;1;240lt;;General;;Green;;3- Good;;;Working;;yes;3- Good;;2022-09-20;350733;5780365;1155;https://www.google.com.au/maps/dir//-38.1122262646962,145.2973358179973/@your+location,17z/data=!4m2!4m1!3e0;65 Berwick-Cranbourne Rd Cranbourne East 3977;Cranbourne East;2025-05-26;Correa
-38.1138796779, 145.296649961;"{""coordinates"": [145.296649961, -38.1138796779], ""type"": ""Point""}";3977;MGA2020 Zone 55;-38.11387967789623;145.29664996099734;;Cage;;1;120lt;;General;;Green;;1- Poor,2- Average;;;Not Working;;no;3- Good;;2022-09-20;350677;5780180;1157;https://www.google.com.au/maps/dir//-38.11387967789623,145.29664996099734/@your+location,17z/data=!4m2!4m1!3e0;Berwick-Cranbourne Rd Cranbourne East 3977;Cranbourne East;2025-05-26;Correa
-37.9908233229, 145.243222872;"{""coordinates"": [145.243222872, -37.9908233229], ""type"": ""Point""}";3177;MGA2020 Zone 55;-37.99082332289611;145.24322287199686;;Cage;;1;240lt;;General;;Green;;5- Excellent;;;Working;;yes;5- Excellent;;2022-09-09;345735;5793748;1168;https://www.google.com.au/maps/dir//-37.99082332289611,145.24322287199686/@your+location,17z/data=!4m2!4m1!3e0;Laurel Ave Doveton 3177;Doveton;2025-05-26;Waratah
-38.0825324084, 145.276313457;"{""coordinates"": [145.276313457, -38.0825324084], ""type"": ""Point""}";3977;MGA2020 Zone 55;-38.08253240839618;145.27631345699717;;Cage;;1;120lt;;General;;Green;;3- Good;;;Working;;yes;3- Good;;2022-09-08;348829;5783626;1169;https://www.google.com.au/maps/dir//-38.08253240839618,145.27631345699717/@your+location,17z/data=!4m2!4m1!3e0;101-103 Lesdon Ave Cranbourne 3977;Cranbourne;2025-05-26;Correa
-38.0883512507, 145.277492618;"{""coordinates"": [145.277492618, -38.0883512507], ""type"": ""Point""}";3977;MGA2020 Zone 55;-38.088351250696185;145.27749261799718;;Free Standing;;6;240lt;;General,Recycle;;Green,Yellow;;;;;;;no;2- Average,3- Good;;2022-09-08;348945;5782982;1172;https://www.google.com.au/maps/dir//-38.088351250696185,145.27749261799718/@your+location,17z/data=!4m2!4m1!3e0;Lesdon Ave Cranbourne 3977;Cranbourne;2025-05-26;Correa
-38.0970483134, 145.282847397;"{""coordinates"": [145.282847397, -38.0970483134], ""type"": ""Point""}";3977;MGA2020 Zone 55;-38.097048313396186;145.28284739699723;;Cage;;1;240lt;;General;;Green;;2- Average;;;Working;;yes;3- Good;;2022-09-08;349432;5782026;1173;https://www.google.com.au/maps/dir//-38.097048313396186,145.28284739699723/@your+location,17z/data=!4m2!4m1!3e0;South Gippsland Hwy Cranbourne 3977;Cranbourne;2025-05-26;Correa
-38.0970825184, 145.282419619;"{""coordinates"": [145.282419619, -38.0970825184], ""type"": ""Point""}";3977;MGA2020 Zone 55;-38.09708251839619;145.28241961899724;;Cage;;2;240lt;;General;;Green;;3- Good;;;Working;;yes;3- Good;;2022-09-08;349395;5782021;1174;https://www.google.com.au/maps/dir//-38.09708251839619,145.28241961899724/@your+location,17z/data=!4m2!4m1!3e0;1-17 Cranbourne Pl Cranbourne 3977;Cranbourne;2025-05-26;Correa
-38.1091738309, 145.283504581;"{""coordinates"": [145.283504581, -38.1091738309], ""type"": ""Point""}";3977;MGA2020 Zone 55;-38.10917383089617;145.2835045809972;;Cage;;1;240lt;;General;;Green;;3- Good;;;Working;;yes;3- Good;;2022-09-08;349515;5780681;1194;https://www.google.com.au/maps/dir//-38.10917383089617,145.2835045809972/@your+location,17z/data=!4m2!4m1!3e0;Main St Cranbourne 3977;Cranbourne;2025-05-26;Correa
-38.109457721, 145.283304043;"{""coordinates"": [145.283304043, -38.109457721], ""type"": ""Point""}";3977;MGA2020 Zone 55;-38.109457720996176;145.2833040429972;;Cage;;1;120lt;;General;;Green;;3- Good;;;Working;;yes;3- Good;;2022-09-08;349498;5780650;1199;https://www.google.com.au/maps/dir//-38.109457720996176,145.2833040429972/@your+location,17z/data=!4m2!4m1!3e0;High St Cranbourne 3977;Cranbourne;2025-05-26;Quarters
-38.1062533162, 145.28369212;"{""coordinates"": [145.28369212, -38.1062533162], ""type"": ""Point""}";3977;MGA2020 Zone 55;-38.10625331619619;145.2836921199972;;Cage;;4;240lt;;General;;Green;;1- Poor,2- Average;;;Working;;yes;3- Good;;2022-09-08;349525;5781006;1204;https://www.google.com.au/maps/dir//-38.10625331619619,145.2836921199972/@your+location,17z/data=!4m2!4m1!3e0;High St Cranbourne 3977;Cranbourne;2025-05-26;Correa
-38.022107645, 145.25119775;"{""coordinates"": [145.25119775, -38.022107645], ""type"": ""Point""}";3976;MGA2020 Zone 55;-38.022107644996126;145.25119774999695;;Stand;;1;240lt;;General;;Green;;3- Good;;;Working;;yes;3- Good;;2022-09-07;346500;5790290;1221;https://www.google.com.au/maps/dir//-38.022107644996126,145.25119774999695/@your+location,17z/data=!4m2!4m1!3e0;11 Pound Rd Hampton Park 3976;Hampton Park;2025-05-26;Waratah
-38.0247158418, 145.253758924;"{""coordinates"": [145.253758924, -38.0247158418], ""type"": ""Point""}";3976;MGA2020 Zone 55;-38.024715841796144;145.25375892399705;;Stand;;1;240lt;;General;;Green;;3- Good;;;Working;;yes;3- Good;;2022-09-07;346730;5790005;1222;https://www.google.com.au/maps/dir//-38.024715841796144,145.25375892399705/@your+location,17z/data=!4m2!4m1!3e0;18 Chiswick Crt Hampton Park 3976;Hampton Park;2025-05-26;Waratah
-38.0325520831, 145.273439046;"{""coordinates"": [145.273439046, -38.0325520831], ""type"": ""Point""}";3976;MGA2020 Zone 55;-38.0325520830962;145.2734390459971;;Cage;;1;240lt;;General;;Green;;1- Poor;;;Working;;yes;3- Good;;2022-09-07;348474;5789167;1223;https://www.google.com.au/maps/dir//-38.0325520830962,145.2734390459971/@your+location,17z/data=!4m2!4m1!3e0;Sue Crt Hampton Park 3976;Hampton Park;2025-05-26;River Gum
-38.0442398329, 145.276071712;"{""coordinates"": [145.276071712, -38.0442398329], ""type"": ""Point""}";3976;MGA2020 Zone 55;-38.044239832896196;145.27607171199716;;Cage;;1;240lt;;General;;Green;;3- Good;;;Working;;yes;4- Very Good;;2022-09-07;348729;5787875;1230;https://www.google.com.au/maps/dir//-38.044239832896196,145.27607171199716/@your+location,17z/data=!4m2!4m1!3e0;193 Coral Drv Hampton Park 3976;Hampton Park;2025-05-26;River Gum
-38.032200085, 145.266454406;"{""coordinates"": [145.266454406, -38.032200085], ""type"": ""Point""}";3976;MGA2020 Zone 55;-38.03220008499617;145.2664544059971;;Cage;;1;240lt;;General;;Green;;3- Good;;;Working;;yes;4- Very Good;;2022-09-07;347860;5789195;1234;https://www.google.com.au/maps/dir//-38.03220008499617,145.2664544059971/@your+location,17z/data=!4m2!4m1!3e0;154 Sommerville Rd Hampton Park 3976;Hampton Park;2025-05-26;Waratah
-38.0308145038, 145.25698878;"{""coordinates"": [145.25698878, -38.0308145038], ""type"": ""Point""}";3976;MGA2020 Zone 55;-38.030814503796144;145.25698877999702;;Cage;;1;240lt;;General;;Green;;4- Very Good;;;Working;;yes;3- Good;;2022-09-07;347027;5789333;1238;https://www.google.com.au/maps/dir//-38.030814503796144,145.25698877999702/@your+location,17z/data=!4m2!4m1!3e0;80-90 Somerville Rd Hampton Park 3976;Hampton Park;2025-05-26;Waratah
-38.0404223549, 145.254242644;"{""coordinates"": [145.254242644, -38.0404223549], ""type"": ""Point""}";3976;MGA2020 Zone 55;-38.04042235489615;145.25424264399695;;Cage;;1;240lt;;General;;Green;;1- Poor;;;Not Working;;no;2- Average;;2022-09-07;346806;5788263;1240;https://www.google.com.au/maps/dir//-38.04042235489615,145.25424264399695/@your+location,17z/data=!4m2!4m1!3e0;Central Rd Hampton Park 3976;Hampton Park;2025-05-26;River Gum
-38.0799594988, 145.337592289;"{""coordinates"": [145.337592289, -38.0799594988], ""type"": ""Point""}";3978;MGA2020 Zone 55;-38.07995949879634;145.33759228899757;;Cage;;1;240lt;;General;;Green;;3- Good;;;Working;;yes;4- Very Good;;2022-09-07;354199;5784009;1242;https://www.google.com.au/maps/dir//-38.07995949879634,145.33759228899757/@your+location,17z/data=!4m2!4m1!3e0;Viewbank Rd Clyde North 3978;Clyde North;2025-05-26;Dillwynia
-38.1136127562, 145.338815544;"{""coordinates"": [145.338815544, -38.1136127562], ""type"": ""Point""}";3978;MGA2020 Zone 55;-38.113612756196325;145.3388155439976;;Cage;;1;240lt;;General;;Green;;5- Excellent;;;Working;;yes;5- Excellent;;2022-09-06;354373;5780277;1247;https://www.google.com.au/maps/dir//-38.113612756196325,145.3388155439976/@your+location,17z/data=!4m2!4m1!3e0;169 Thoroughbred Drv Clyde North 3978;Clyde North;2025-05-26;Tooradin
-38.112599887, 145.33898687;"{""coordinates"": [145.33898687, -38.112599887], ""type"": ""Point""}";3978;MGA2020 Zone 55;-38.112599886996314;145.33898686999765;;Cage;;1;240lt;;General;;Green;;4- Very Good;;;Working;;yes;5- Excellent;;2022-09-06;354386;5780390;1248;https://www.google.com.au/maps/dir//-38.112599886996314,145.33898686999765/@your+location,17z/data=!4m2!4m1!3e0;260 Heather Grv Clyde North Vic 3977;Clyde North;2025-05-26;Tooradin
-38.1126353843, 145.341732446;"{""coordinates"": [145.341732446, -38.1126353843], ""type"": ""Point""}";3978;MGA2020 Zone 55;-38.112635384296325;145.34173244599765;;Cage;;1;240lt;;General;;Green;;4- Very Good;;;Working;;yes;4- Very Good;;2022-09-06;354627;5780390;1249;https://www.google.com.au/maps/dir//-38.112635384296325,145.34173244599765/@your+location,17z/data=!4m2!4m1!3e0;260 heather Grv Clyde North Vic 3977;Clyde North;2025-05-26;Tooradin
-38.1121959467, 145.341235565;"{""coordinates"": [145.341235565, -38.1121959467], ""type"": ""Point""}";3978;MGA2020 Zone 55;-38.11219594669632;145.3412355649976;;Compound;;16;240lt;;General,Recycle;;Green,Yellow;;5- Excellent;;;Working;;yes;4- Very Good;;2022-09-06;354582;5780438;1250;https://www.google.com.au/maps/dir//-38.11219594669632,145.3412355649976/@your+location,17z/data=!4m2!4m1!3e0;260 Heather Grv Clyde North Vic 3977;Clyde North;2025-05-26;Tooradin
-38.1041862164, 145.325257899;"{""coordinates"": [145.325257899, -38.1041862164], ""type"": ""Point""}";3978;MGA2020 Zone 55;-38.10418621639629;145.32525789899748;;Cage;;1;240lt;;General;;Green;;2- Average;;;Working;;yes;3- Good;;2022-09-06;353165;5781302;1253;https://www.google.com.au/maps/dir//-38.10418621639629,145.32525789899748/@your+location,17z/data=!4m2!4m1!3e0;Selandra Blvd Cranbourne East 3978;Clyde North;2025-05-26;Correa
-38.1157467049, 145.323422598;"{""coordinates"": [145.323422598, -38.1157467049], ""type"": ""Point""}";3978;MGA2020 Zone 55;-38.115746704896274;145.32342259799753;;Stand;;1;240lt;;Dog Poo;;Green;;4- Very Good;;;Working;;yes;4- Very Good;;2022-09-06;353028;5780016;1256;https://www.google.com.au/maps/dir//-38.115746704896274,145.32342259799753/@your+location,17z/data=!4m2!4m1!3e0;130 Selandra Blvd Clyde North 3978;Clyde North;2025-05-26;Correa
-38.0654294535, 145.284274219;"{""coordinates"": [145.284274219, -38.0654294535], ""type"": ""Point""}";3805;MGA2020 Zone 55;-38.0654294534962;145.2842742189972;;Cage;;1;240lt;;General;;Green;;4- Very Good;;;Working;;yes;3- Good;;2022-09-06;349492;5785537;1266;https://www.google.com.au/maps/dir//-38.0654294534962,145.2842742189972/@your+location,17z/data=!4m2!4m1!3e0;48-50 Harrington Drv Narre Warren South 3805;Narre Warren South;2025-05-26;Casuarina
-38.052517525, 145.288931988;"{""coordinates"": [145.288931988, -38.052517525], ""type"": ""Point""}";3805;MGA2020 Zone 55;-38.05251752499622;145.28893198799722;;Cage;;1;120lt;;General;;Green;;3- Good;;;Working;;yes;3- Good;;2022-09-06;349875;5786977;1268;https://www.google.com.au/maps/dir//-38.05251752499622,145.28893198799722/@your+location,17z/data=!4m2!4m1!3e0;81 Seebeck Drv Narre Warren South Vic 3805;Narre Warren South;2025-05-26;Casuarina
-38.0523311114, 145.286968192;"{""coordinates"": [145.286968192, -38.0523311114], ""type"": ""Point""}";3805;MGA2020 Zone 55;-38.05233111139622;145.28696819199726;;Cage;;1;120lt;;General;;Green;;1- Poor;;;Working;;yes;1- Poor,3- Good;;2022-09-06;349702;5786995;1269;https://www.google.com.au/maps/dir//-38.05233111139622,145.28696819199726/@your+location,17z/data=!4m2!4m1!3e0;246 Ormond Rd Narre Warren South 3805;Narre Warren South;2025-05-26;Casuarina
-38.0507719936, 145.288639376;"{""coordinates"": [145.288639376, -38.0507719936], ""type"": ""Point""}";3805;MGA2020 Zone 55;-38.05077199359623;145.2886393759972;;Compound;;4;120lt,240lt;;General,Recycle;;Green,Yellow;;4- Very Good;;;Working;;yes;3- Good;;2022-09-06;349845;5787170;1270;https://www.google.com.au/maps/dir//-38.05077199359623,145.2886393759972/@your+location,17z/data=!4m2!4m1!3e0;School Crt Narre Warren South 3805;Narre Warren South;2025-05-26;Casuarina
-38.0714711035, 145.315272957;"{""coordinates"": [145.315272957, -38.0714711035], ""type"": ""Point""}";3805;MGA2020 Zone 55;-38.07147110349628;145.31527295699743;;Compound;;12;240lt;;General,Recycle;;Green,Yellow;;3- Good;;;Working;;yes;3- Good;;2022-09-06;352224;5784916;1275;https://www.google.com.au/maps/dir//-38.07147110349628,145.31527295699743/@your+location,17z/data=!4m2!4m1!3e0;Glasscocks Rd Narre Warren South 3805;Narre Warren South;2025-05-26;Kowan
-38.0043933308, 145.273486488;"{""coordinates"": [145.273486488, -38.0043933308], ""type"": ""Point""}";3803;MGA2020 Zone 55;-38.00439333079621;145.27348648799716;;Cage;;1;120lt;;General;;Green;;2- Average;;;Working;;yes;3- Good;;2022-09-05;348420;5792292;1278;https://www.google.com.au/maps/dir//-38.00439333079621,145.27348648799716/@your+location,17z/data=!4m2!4m1!3e0;Hallam-Belgrave Rd Hallam 3803;Hallam;2025-05-26;Waratah
-37.9992227341, 145.261834435;"{""coordinates"": [145.261834435, -37.9992227341], ""type"": ""Point""}";3803;MGA2020 Zone 55;-37.99922273409618;145.26183443499704;;Stand;;1;240lt;;General;;Green;;3- Good;;;Working;;yes;3- Good;;2022-09-05;347386;5792847;1279;https://www.google.com.au/maps/dir//-37.99922273409618,145.26183443499704/@your+location,17z/data=!4m2!4m1!3e0;9-11 Adam Ave Hallam 3803;Hallam;2025-05-26;Waratah
-38.0038037304, 145.283763038;"{""coordinates"": [145.283763038, -38.0038037304], ""type"": ""Point""}";3803;MGA2020 Zone 55;-38.00380373039623;145.2837630379972;;Cage;;1;240lt;;General;;Green;;3- Good;;;Working;;yes;3- Good;;2022-09-05;349321;5792374;1280;https://www.google.com.au/maps/dir//-38.00380373039623,145.2837630379972/@your+location,17z/data=!4m2!4m1!3e0;22-32 Saffron Drv Hallam Vic 3803;Hallam;2025-05-26;Waratah
-38.0161294202, 145.282618655;"{""coordinates"": [145.282618655, -38.0161294202], ""type"": ""Point""}";3803;MGA2020 Zone 55;-38.01612942019622;145.2826186549972;;Cage;;1;240lt;;General;;Green;;3- Good;;;Working;;yes;3- Good;;2022-09-05;349246;5791005;1284;https://www.google.com.au/maps/dir//-38.01612942019622,145.2826186549972/@your+location,17z/data=!4m2!4m1!3e0;1-11 Buckeye Drv Hallam 3803;Hallam;2025-05-26;Waratah
-38.0157739077, 145.28250205;"{""coordinates"": [145.28250205, -38.0157739077], ""type"": ""Point""}";3803;MGA2020 Zone 55;-38.015773907696214;145.28250204999725;;Cage;;1;240lt;;General;;Green;;3- Good;;;Working;;yes;3- Good;;2022-09-05;349235;5791044;1285;https://www.google.com.au/maps/dir//-38.015773907696214,145.28250204999725/@your+location,17z/data=!4m2!4m1!3e0;117 Hinrichsen Drv Hallam 3803;Hallam;2025-05-26;Waratah
-37.9974469962, 145.264552217;"{""coordinates"": [145.264552217, -37.9974469962], ""type"": ""Point""}";3803;MGA2020 Zone 55;-37.99744699619616;145.26455221699703;;Cage;;1;240lt;;General;;Green;;4- Very Good;;;Working;;yes;4- Very Good;;2022-09-05;347621;5793048;1288;https://www.google.com.au/maps/dir//-37.99744699619616,145.26455221699703/@your+location,17z/data=!4m2!4m1!3e0;27-51  Gunns Rd Hallam Vic 3803;Hallam;2025-05-26;Waratah
-37.9970447068, 145.264650453;"{""coordinates"": [145.264650453, -37.9970447068], ""type"": ""Point""}";3803;MGA2020 Zone 55;-37.99704470679618;145.26465045299707;;Stand;;1;120lt;;Dog Poo;;Green;;4- Very Good;;;Working;;yes;4- Very Good;;2022-09-05;347629;5793093;1290;https://www.google.com.au/maps/dir//-37.99704470679618,145.26465045299707/@your+location,17z/data=!4m2!4m1!3e0;27-51 Gunns Rd Hallam Vic 3803;Hallam;2025-05-26;Waratah
-37.9818962189, 145.242294828;"{""coordinates"": [145.242294828, -37.9818962189], ""type"": ""Point""}";3177;MGA2020 Zone 55;-37.98189621889614;145.24229482799691;;Compound;;8;240lt;;General,Recycle;;Green,Yellow;;4- Very Good;;;Working;;yes;3- Good;;2022-09-01;345634;5794737;1297;https://www.google.com.au/maps/dir//-37.98189621889614,145.24229482799691/@your+location,17z/data=!4m2!4m1!3e0;203-205 Power Rd Doveton 3177;Doveton;2025-05-26;Waratah
-38.001511119, 145.273194787;"{""coordinates"": [145.273194787, -38.001511119], ""type"": ""Point""}";3803;MGA2020 Zone 55;-38.00151111899621;145.27319478699715;;Cage;;1;120lt;;General;;Green;;2- Average,3- Good;;;Working;;yes;3- Good;;2022-09-01;348389;5792611;1300;https://www.google.com.au/maps/dir//-38.00151111899621,145.27319478699715/@your+location,17z/data=!4m2!4m1!3e0;Frawley Rd Hallam 3803;Hallam;2025-05-26;Waratah
-38.0001283942, 145.261561835;"{""coordinates"": [145.261561835, -38.0001283942], ""type"": ""Point""}";3803;MGA2020 Zone 55;-38.00012839419617;145.26156183499702;;Cage;;1;120lt;;General;;Green;;2- Average,3- Good;;;Working;;yes;3- Good;;2022-09-01;347364;5792746;1302;https://www.google.com.au/maps/dir//-38.00012839419617,145.26156183499702/@your+location,17z/data=!4m2!4m1!3e0;Frawley Rd Hallam 3803;Hallam;2025-05-26;Waratah
-38.0045372481, 145.266607041;"{""coordinates"": [145.266607041, -38.0045372481], ""type"": ""Point""}";3803;MGA2020 Zone 55;-38.00453724809618;145.26660704099706;;Cage;;1;240lt;;General;;Green;;2- Average,3- Good;;;Working;;yes;3- Good;;2022-08-31;347816;5792265;1311;https://www.google.com.au/maps/dir//-38.00453724809618,145.26660704099706/@your+location,17z/data=!4m2!4m1!3e0;2-80 Spring Square Hallam 3803;Hallam;2025-05-26;Waratah
-38.0045842287, 145.266880291;"{""coordinates"": [145.266880291, -38.0045842287], ""type"": ""Point""}";3803;MGA2020 Zone 55;-38.00458422869619;145.26688029099714;;Cage;;1;240lt;;General;;Green;;3- Good;;;Working;;yes;3- Good;;2022-08-31;347841;5792260;1312;https://www.google.com.au/maps/dir//-38.00458422869619,145.26688029099714/@your+location,17z/data=!4m2!4m1!3e0;2-80 Spring Square Hallam 3803;Hallam;2025-05-26;Waratah
-38.0043506049, 145.266529904;"{""coordinates"": [145.266529904, -38.0043506049], ""type"": ""Point""}";3803;MGA2020 Zone 55;-38.00435060489618;145.26652990399714;;Cage;;1;240lt;;General;;Green;;3- Good;;;Working;;yes;3- Good;;2022-08-31;347809;5792285;1313;https://www.google.com.au/maps/dir//-38.00435060489618,145.26652990399714/@your+location,17z/data=!4m2!4m1!3e0;2-80 Spring Square Hallam Vic 3803;Hallam;2025-05-26;Waratah
-38.0038287258, 145.266106893;"{""coordinates"": [145.266106893, -38.0038287258], ""type"": ""Point""}";3803;MGA2020 Zone 55;-38.00382872579619;145.26610689299707;;Cage;;1;240lt;;General;;Green;;3- Good;;;Working;;yes;3- Good;;2022-08-31;347771;5792343;1315;https://www.google.com.au/maps/dir//-38.00382872579619,145.26610689299707/@your+location,17z/data=!4m2!4m1!3e0;2-80 Spring Square Hallam 3803;Hallam;2025-05-26;Waratah
-38.0056576571, 145.271413475;"{""coordinates"": [145.271413475, -38.0056576571], ""type"": ""Point""}";3803;MGA2020 Zone 55;-38.00565765709621;145.27141347499713;;Cage;;1;120lt;;General;;Green;;2- Average,3- Good;;;Working;;yes;2- Average;;2022-08-31;348241;5792148;1321;https://www.google.com.au/maps/dir//-38.00565765709621,145.27141347499713/@your+location,17z/data=!4m2!4m1!3e0;212 Princes Highway Hallam 3803;Hallam;2025-05-26;Waratah
-38.0696172361, 145.326172868;"{""coordinates"": [145.326172868, -38.0696172361], ""type"": ""Point""}";3805;MGA2020 Zone 55;-38.06961723609631;145.32617286799754;;Cage;;1;240lt;;General;;Green;;3- Good;;;Working;;yes;3- Good;;2022-08-31;353176;5785139;1324;https://www.google.com.au/maps/dir//-38.06961723609631,145.32617286799754/@your+location,17z/data=!4m2!4m1!3e0;60 Beauford Ave Narre Warren South 3805;Narre Warren South;2025-05-26;Kowan
-37.9959273727, 145.25056092;"{""coordinates"": [145.25056092, -37.9959273727], ""type"": ""Point""}";3177;MGA2020 Zone 55;-37.99592737269616;145.25056091999699;;Cage;;1;240lt;;General;;Green;;3- Good;;;Working;;yes;3- Good;;2022-08-31;346390;5793194;1326;https://www.google.com.au/maps/dir//-37.99592737269616,145.25056091999699/@your+location,17z/data=!4m2!4m1!3e0;76-98 Doveton Ave Doveton 3177;Eumemmerring;2025-05-26;Waratah
-37.9956795043, 145.250524096;"{""coordinates"": [145.250524096, -37.9956795043], ""type"": ""Point""}";3177;MGA2020 Zone 55;-37.995679504296156;145.25052409599695;;Cage;;1;240lt;;General;;Green;;3- Good;;;Working;;yes;3- Good;;2022-08-31;346386;5793221;1328;https://www.google.com.au/maps/dir//-37.995679504296156,145.25052409599695/@your+location,17z/data=!4m2!4m1!3e0;76-98 Doveton Rd Doveton;Eumemmerring;2025-05-26;Waratah
-37.9954720103, 145.250518229;"{""coordinates"": [145.250518229, -37.9954720103], ""type"": ""Point""}";3177;MGA2020 Zone 55;-37.99547201029615;145.25051822899695;;Cage;;1;240lt;;General;;Green;;3- Good;;;Working;;yes;3- Good;;2022-08-31;346385;5793244;1329;https://www.google.com.au/maps/dir//-37.99547201029615,145.25051822899695/@your+location,17z/data=!4m2!4m1!3e0;76-98 Doveton Ave Doveton 3177;Eumemmerring;2025-05-26;Waratah
-37.9946945468, 145.240065912;"{""coordinates"": [145.240065912, -37.9946945468], ""type"": ""Point""}";3177;MGA2020 Zone 55;-37.99469454679611;145.2400659119969;;Cage;;1;120lt;;General;;Green;;3- Good;;;Working;;yes;3- Good;;2022-08-31;345465;5793313;1335;https://www.google.com.au/maps/dir//-37.99469454679611,145.2400659119969/@your+location,17z/data=!4m2!4m1!3e0;1-27 Autumn Pl Doveton 3177;Doveton;2025-05-26;Waratah
-37.994813486, 145.239491752;"{""coordinates"": [145.239491752, -37.994813486], ""type"": ""Point""}";3177;MGA2020 Zone 55;-37.9948134859961;145.23949175199687;;Cage;;1;120lt;;General;;Green;;3- Good;;;Working;;yes;3- Good;;2022-08-31;345415;5793299;1337;https://www.google.com.au/maps/dir//-37.9948134859961,145.23949175199687/@your+location,17z/data=!4m2!4m1!3e0;1-27 Autumn Pl Doveton 3177;Doveton;2025-05-26;Waratah
-37.9947425181, 145.239197436;"{""coordinates"": [145.239197436, -37.9947425181], ""type"": ""Point""}";3177;MGA2020 Zone 55;-37.9947425180961;145.23919743599689;;Cage;;1;120lt;;General;;Green;;3- Good;;;Working;;yes;3- Good;;2022-08-31;345389;5793307;1339;https://www.google.com.au/maps/dir//-37.9947425180961,145.23919743599689/@your+location,17z/data=!4m2!4m1!3e0;1-27 Autumn Pl Doveton 3177;Doveton;2025-05-26;Waratah
-37.9855984217, 145.251675602;"{""coordinates"": [145.251675602, -37.9855984217], ""type"": ""Point""}";3802;MGA2020 Zone 55;-37.985598421696146;145.25167560199696;;Cage;;1;240lt;;General;;Green;;4- Very Good;;;Working;;yes;3- Good;;2022-08-30;346466;5794342;1348;https://www.google.com.au/maps/dir//-37.985598421696146,145.25167560199696/@your+location,17z/data=!4m2!4m1!3e0;115-135 James Cook Drv Endeavour Hills 3802;Endeavour Hills;2025-05-26;Kalora
-37.979019567, 145.270950263;"{""coordinates"": [145.270950263, -37.979019567], ""type"": ""Point""}";3802;MGA2020 Zone 55;-37.9790195669962;145.27095026299713;;Compound;;8;240lt;;General,Recycle;;Green,Yellow;;3- Good;;;Working;;yes;3- Good;;2022-08-30;348145;5795104;1350;https://www.google.com.au/maps/dir//-37.9790195669962,145.27095026299713/@your+location,17z/data=!4m2!4m1!3e0;Singleton Drv Endeavour Hills 3802;Endeavour Hills;2025-05-26;Kalora
-37.9792477422, 145.269440447;"{""coordinates"": [145.269440447, -37.9792477422], ""type"": ""Point""}";3802;MGA2020 Zone 55;-37.97924774219621;145.2694404469971;;Cage;;1;120lt;;General;;Green;;2- Average;;;Working;;yes;2- Average;;2022-08-30;348013;5795076;1351;https://www.google.com.au/maps/dir//-37.97924774219621,145.2694404469971/@your+location,17z/data=!4m2!4m1!3e0;Singleton Drv Endeavour Hills 3802;Endeavour Hills;2025-05-26;Kalora
-37.9790799832, 145.247540306;"{""coordinates"": [145.247540306, -37.9790799832], ""type"": ""Point""}";3802;MGA2020 Zone 55;-37.979079983196165;145.24754030599692;;Compound;;3;240lt;;General,Recycle;;Green,Yellow;;3- Good;;;Working;;yes;3- Good;;2022-08-30;346089;5795058;1353;https://www.google.com.au/maps/dir//-37.979079983196165,145.24754030599692/@your+location,17z/data=!4m2!4m1!3e0;55-63 James Cook Drv Endeavour Hills 3802;Endeavour Hills;2025-05-26;Kalora
-37.9790623812, 145.24776754;"{""coordinates"": [145.24776754, -37.9790623812], ""type"": ""Point""}";3802;MGA2020 Zone 55;-37.97906238119612;145.24776753999697;;Stand;;1;240lt;;General;;Green;;3- Good;;;Working;;yes;3- Good;;2022-08-30;346109;5795061;1354;https://www.google.com.au/maps/dir//-37.97906238119612,145.24776753999697/@your+location,17z/data=!4m2!4m1!3e0;55-63 James Cook Drv Endeavour Hills 3802;Endeavour Hills;2025-05-26;Kalora
-37.9706486125, 145.24926247;"{""coordinates"": [145.24926247, -37.9706486125], ""type"": ""Point""}";3802;MGA2020 Zone 55;-37.970648612496156;145.24926246999695;;Compound;;6;240lt;;General;;Green;;3- Good;;;Working;;yes;4- Very Good;;2022-08-30;346223;5795997;1358;https://www.google.com.au/maps/dir//-37.970648612496156,145.24926246999695/@your+location,17z/data=!4m2!4m1!3e0;24 Haverstock Hill Cl Endeavour Hills 3802;Endeavour Hills;2025-05-26;Kalora
-37.9778978754, 145.259380052;"{""coordinates"": [145.259380052, -37.9778978754], ""type"": ""Point""}";3802;MGA2020 Zone 55;-37.97789787539617;145.259380051997;;Compound;;10;240lt;;General,Recycle;;Blue,Green;;3- Good;;;Working;;yes;3- Good;;2022-08-30;347127;5795209;1359;https://www.google.com.au/maps/dir//-37.97789787539617,145.259380051997/@your+location,17z/data=!4m2!4m1!3e0;10 Raymond McMahon Bvd Endeavour Hills 3802;Endeavour Hills;2025-05-26;Kalora
