Location Coordinate;Feature Extent;Latitude Coordinate;Longitude Coordinate;Road Name;Installed Year;Range;Counter Type;Installed Date;Easting Coordinate;Northing Coordinate;Projection;Postcode;85th Percentile (Kmh);Volume in 12Hours;Volume in 24Hours;Commercial Vehicles (%);Peak Volume (%);GISFid
-38.0998591155, 145.3350156396;"{""coordinates"": [145.3350156396, -38.0998591155], ""type"": ""Point""}";-38.09985911549568;145.33501563964717;Appenzellar Drive;2021;Between 50km/h and 60km/h;W;2021-03-23;354012;5781797;MGA2020 zone 55;3978;52.1;721;969;5.0;8.8;198
-38.1465571198, 145.2350983419;"{""coordinates"": [145.2350983419, -38.1465571198], ""type"": ""Point""}";-38.14655711975588;145.23509834194104;Browns Road Cranbourne South;2021;More than 60km/h;W;2021-04-21;345349;5776453;MGA2020 zone 55;3977;68.1;4783;5953;9.8;10.38;253
-38.0011690026, 145.265775024;"{""coordinates"": [145.265775024, -38.0011690026], ""type"": ""Point""}";-38.00116900263205;145.2657750239788;Windsor Street;2022;Between 40km/h and 50km/h;W;2022-02-22;347736;5792637;MGA2020 zone 55;3803;41.4;1589;1976;2.31;9.73;256
-38.0730900038, 145.2571790243;"{""coordinates"": [145.2571790243, -38.0730900038], ""type"": ""Point""}";-38.07309000383699;145.25717902427596;Brookwater Parade;2022;Between 40km/h and 50km/h;W;2022-02-22;347131;5784642;MGA2020 zone 55;3975;48.1;565;753;7.03;10.61;282
-38.0244560012, 145.3113450423;"{""coordinates"": [145.3113450423, -38.0244560012], ""type"": ""Point""}";-38.024456001174286;145.31134504233998;Verdun Drive;2022;Between 50km/h and 60km/h;W;2022-08-24;351785;5790127;MGA2020 zone 55;3805;51.0;1599;1788;4.02;10.81;533
-38.1103730035, 145.2853630246;"{""coordinates"": [145.2853630246, -38.1103730035], ""type"": ""Point""}";-38.11037300346689;145.28536302463576;Codrington Street;2021;Between 40km/h and 50km/h;W;2021-11-15;349680;5780551;MGA2020 zone 55;3977;45.8;2059;2286;3.89;13.11;555
-38.1106250041, 145.2878930279;"{""coordinates"": [145.2878930279, -38.1106250041], ""type"": ""Point""}";-38.11062500407426;145.28789302787547;Russell Street;2021;Between 40km/h and 50km/h;W;2021-11-15;349902;5780527;MGA2020 zone 55;3977;40.9;1024;1135;9.03;19.82;562
-38.1198600033, 145.3073830216;"{""coordinates"": [145.3073830216, -38.1198600033], ""type"": ""Point""}";-38.119860003274724;145.3073830216395;Casey Fields, East Of Casey Fields Boulevard;2021;Between 30km/h and 40km/h;W;2021-11-16;351630;5779534;MGA2020 zone 55;3977;36.0;2023;2311;5.0;11.07;566
-38.0620973067, 145.2551851837;"{""coordinates"": [145.2551851837, -38.0620973067], ""type"": ""Point""}";-38.06209730669491;145.2551851836564;Paterson Drive;2018;Between 50km/h and 60km/h;W;2018-03-02;346933;5785859;MGA2020 zone 55;3975;57.3;686;854;2.82;13.47;581
-38.1241639426, 145.3009428599;"{""coordinates"": [145.3009428599, -38.1241639426], ""type"": ""Point""}";-38.124163942550965;145.3009428598558;Lineham Drive;2019;Between 50km/h and 60km/h;W;2019-02-25;351074;5779046;MGA2020 zone 55;3977;58.3;1464;2010;4.39;9.95;609
-38.0345775186, 145.2593069754;"{""coordinates"": [145.2593069754, -38.0345775186], ""type"": ""Point""}";-38.03457751863662;145.259306975351;Fordholm Road;2019;Between 50km/h and 60km/h;W;2019-05-30;347238;5788919;MGA2020 zone 55;3976;53.2;2141;2620;2.6;14.35;625
-38.0586525119, 145.2902822829;"{""coordinates"": [145.2902822829, -38.0586525119], ""type"": ""Point""}";-38.058652511850106;145.2902822829283;Ormond Road Narre Warren South;2019;Between 50km/h and 60km/h;W;2019-11-12;350006;5786298;MGA2020 zone 55;3805;56.8;8547;11017;4.29;9.14;669
-38.0703916273, 145.3234467737;"{""coordinates"": [145.3234467737, -38.0703916273], ""type"": ""Point""}";-38.07039162733547;145.3234467736514;The Esplanade;2018;More than 60km/h;W;2018-05-09;352939;5785049;MGA2020 zone 55;3805;61.0;1383;1759;5.2;11.03;676
-38.0148647085, 145.3249809014;"{""coordinates"": [145.3249809014, -38.0148647085], ""type"": ""Point""}";-38.014864708472096;145.32498090140075;Ernst Wanke Road;2020;More than 60km/h;W;2020-02-13;352962;5791213;MGA2020 zone 55;3806;61.7;7342;9030;5.65;12.16;690
-38.0991473297, 145.2671930322;"{""coordinates"": [145.2671930322, -38.0991473297], ""type"": ""Point""}";-38.099147329711904;145.26719303221842;Monahans Road;2018;Between 50km/h and 60km/h;W;2018-06-23;348064;5781767;MGA2020 zone 55;3977;54.4;6285;8005;2.51;9.82;744
-38.065548153, 145.3146957445;"{""coordinates"": [145.3146957445, -38.065548153], ""type"": ""Point""}";-38.065548153009885;145.31469574446686;Heritage Drive;2018;Between 50km/h and 60km/h;W;2018-05-09;352161;5785572;MGA2020 zone 55;3805;51.0;1002;1260;7.4;13.57;745
